State,District,2.delta7.vaccinated1,2.delta7.vaccinated2,population,2.total.vaccinated1,2.total.vaccinated2,2.delta.vaccinated2,2.delta.vaccinated1,2.delta21_14.confirmed,2.delta7.confirmed,2.delta7.recovered,2.total.confirmed,2.total.deceased,2.total.recovered,2.delta.confirmed,2.delta.recovered,2.meta.tested.date,totaltested,2.delta.deceased,2.delta7.deceased,2.total.other,2.delta.tested,2.delta7.tested,2.meta.vaccinated.date,2.delta7.other,2.delta.other,TestingRatio,"TestingRatio Category"
GJ,Bhavnagar,19467,81374,2877961,1680398,986097,1470,359,3,1,0,21447,301,21143,1,0,"02-02-2021 00:00",392834,0,0,0,0,0,0,0,0,0.1365,"Category B"
GJ,Botad,929,14235,656005,378232,228691,235,13,0,0,0,2218,42,2176,0,0,"02-02-2021 00:00",98559,0,0,0,0,0,0,0,0,0.1502,"Category B"
GJ,"Chhota Udaipur",699,19920,1071831,635695,420157,818,4,0,0,0,3395,38,3357,0,0,"02-02-2021 00:00",93838,0,0,0,0,0,0,0,0,0.0875,"Category A"
GJ,Dahod,626,53547,2126558,1499052,631818,1930,8,0,0,0,9955,38,9917,0,0,"02-02-2021 00:00",218259,0,0,0,0,0,0,0,0,0.1026,"Category B"
GJ,Dang,4140,3726,226769,156334,59262,1,2,-2,0,0,866,18,848,0,0,"02-02-2021 00:00",31921,0,0,0,0,0,0,0,0,0.1408,"Category B"
GJ,"Devbhumi Dwarka",4666,24924,752484,504501,309771,373,315,0,0,0,4175,82,4093,0,0,"02-02-2021 00:00",80424,0,0,0,0,0,0,0,0,0.1069,"Category B"
GJ,Gandhinagar,5475,36333,1387478,1175562,706208,367,69,-1,0,0,20754,205,20549,0,0,"02-02-2021 00:00",292598,0,0,0,0,0,0,0,0,0.2109,"Category B"
GJ,"Gir Somnath",8524,15341,1217477,845224,363467,15,912,3,2,2,8570,67,8499,0,0,"02-02-2021 00:00",121948,0,0,0,0,0,0,0,0,0.1002,"Category B"
GJ,Jamnagar,9406,37158,2159130,1111813,653950,1366,367,1,5,3,34978,478,34494,0,1,"02-02-2021 00:00",307911,0,0,0,0,0,0,0,0,0.1426,"Category B"
GJ,Junagadh,2660,71531,2742291,1316479,733025,1232,62,13,6,2,20505,272,20226,2,0,"02-02-2021 00:00",199699,0,0,0,0,0,0,0,0,0.0728,"Category A"
GJ,Kheda,11668,73838,2298934,1454344,893742,2105,124,3,0,1,10439,48,10391,0,0,"02-02-2021 00:00",218140,0,0,0,0,0,0,0,0,0.0949,"Category A"
GJ,Kutch,8920,49662,2090313,1412923,680232,351,15,4,5,1,12631,145,12474,0,0,"02-02-2021 00:00",267060,0,0,0,0,0,0,0,0,0.1278,"Category B"
GJ,Mahisagar,62,16517,994624,815594,459520,929,1,0,0,0,8194,72,8122,0,0,"02-02-2021 00:00",122796,0,0,0,0,0,0,0,0,0.1235,"Category B"
GJ,Mehsana,7523,48550,2027727,1405786,869969,723,71,0,0,1,24419,177,24242,0,0,"02-02-2021 00:00",229904,0,0,0,0,0,0,0,0,0.1134,"Category B"
GJ,Morbi,9950,20297,960329,674000,308840,118,31,0,0,0,6502,87,6415,0,0,"02-02-2021 00:00",157321,0,0,0,0,0,0,0,0,0.1638,"Category B"
GJ,Narmada,546,13890,590379,413260,279684,12,2,2,0,2,5955,15,5940,0,0,"02-02-2021 00:00",76134,0,0,0,0,0,0,0,0,0.1290,"Category B"
GJ,Navsari,1852,29095,1330711,948673,647484,2009,62,11,5,13,7215,24,7181,0,1,"02-02-2021 00:00",129099,0,0,0,0,0,0,0,0,0.0970,"Category A"
GJ,"Other State",0,0,0,0,0,0,0,0,0,0,162,3,159,0,0,"27-06-2020 00:00",108,0,0,0,0,0,0,0,0,NULL,"Very Low"
GJ,Panchmahal,7294,44832,2388267,1105110,626003,1246,80,0,0,0,11770,70,11700,0,0,"02-02-2021 00:00",160981,0,0,0,0,0,0,0,0,0.0674,"Category A"
GJ,Patan,3369,37745,1342746,850462,533438,259,20,0,0,0,11624,129,11495,0,0,"02-02-2021 00:00",169059,0,0,0,0,0,0,0,0,0.1259,"Category B"
GJ,Porbandar,1140,13063,586062,419364,256377,1062,48,0,0,0,3486,19,3467,0,0,"02-02-2021 00:00",97912,0,0,0,0,0,0,0,0,0.1671,"Category B"
GJ,Rajkot,17510,53546,3157676,2227111,1255012,153,43,2,7,7,57976,725,57243,0,7,"02-02-2021 00:00",731251,0,0,0,0,0,0,0,0,0.2316,"Category B"
GJ,Sabarkantha,4232,45789,2427346,1000517,596705,1181,66,0,1,0,9317,157,9159,0,0,"02-02-2021 00:00",182090,0,0,0,0,0,0,0,0,0.0750,"Category A"
GJ,Surat,35083,115694,4996391,4781894,2529712,7090,2525,38,38,30,143874,1956,141885,4,4,"02-02-2021 00:00",1938229,0,1,0,0,0,0,0,0,0.3879,"Category C"
GJ,Surendranagar,18641,79795,1755873,1113845,715931,647,51,0,0,0,8121,136,7985,0,0,"02-02-2021 00:00",201153,0,0,0,0,0,0,0,0,0.1146,"Category B"
GJ,Tapi,3010,23409,806489,527345,303297,111,14,-1,0,0,4441,24,4417,0,0,"02-02-2021 00:00",92524,0,0,0,0,0,0,0,0,0.1147,"Category B"
GJ,Vadodara,16527,182027,3639775,2612578,1940514,12194,437,16,36,14,78159,788,77335,6,2,"02-02-2021 00:00",695670,0,0,0,0,0,0,0,0,0.1911,"Category B"
GJ,Valsad,6616,36430,1703068,1232139,704675,46,84,28,25,25,6405,53,6308,3,6,"02-02-2021 00:00",155380,0,1,0,0,0,0,0,0,0.0912,"Category A"
HP,Bilaspur,695,15071,382056,323204,234916,329,6,78,133,77,14374,85,14120,11,12,"19-12-2020 00:00",39738,0,0,1,0,0,0,0,0,0.1040,"Category B"
HP,Chamba,1439,18796,518844,364258,198146,1749,146,8,27,13,13687,160,13492,0,2,"19-12-2020 00:00",53505,0,0,2,0,0,0,0,0,0.1031,"Category B"
HP,Hamirpur,713,26076,454293,377332,269143,32,0,177,288,228,17379,287,16741,11,50,"19-12-2020 00:00",46407,0,4,1,0,0,0,0,0,0.1022,"Category B"
HP,Kangra,2399,39940,1507223,1182563,725754,23,2,310,657,454,50818,1125,48872,40,108,"19-12-2020 00:00",94910,1,10,4,0,0,0,0,0,0.0630,"Category A"
HP,Kinnaur,95,517,84298,79673,63209,0,0,4,2,6,3507,38,3465,0,1,"19-12-2020 00:00",6730,0,0,0,0,0,0,0,0,0.0798,"Category A"
HP,Kullu,889,9323,437474,351261,203549,0,0,17,19,18,9692,158,9496,0,3,"29-09-2020 00:00",12012,0,0,2,0,0,0,-1,0,0.0275,"Very Low"
HP,"Lahaul and Spiti",30,412,31528,31920,20986,0,0,1,0,0,2953,18,2935,0,0,"31-10-2020 00:00",540,0,0,0,0,0,0,0,0,0.0171,"Very Low"
HP,Mandi,1156,26214,999518,775242,479355,2275,99,165,140,141,31606,448,30983,4,5,"19-12-2020 00:00",41895,0,3,0,0,0,0,0,0,0.0419,"Very Low"
HP,Shimla,2224,37351,813384,678341,412640,1688,20,72,100,66,27549,641,26786,4,9,"19-12-2020 00:00",32922,0,3,1,0,0,0,0,0,0.0405,"Very Low"
HP,Sirmaur,1388,22247,530164,423793,209631,1185,52,0,1,0,15456,211,15244,0,0,"19-12-2020 00:00",42564,0,0,0,0,0,0,0,0,0.0803,"Category A"
HP,Solan,1393,21242,576670,691163,339630,493,33,25,25,27,22817,314,22472,4,2,"19-12-2020 00:00",57200,0,0,0,0,0,0,0,0,0.0992,"Category A"
HP,Una,824,16782,521057,434945,286819,396,24,101,145,124,14268,253,13804,11,6,"19-12-2020 00:00",52905,0,0,2,0,0,0,0,0,0.1015,"Category B"
HR,Ambala,3021,25458,1136784,873020,571772,587,100,2,2,1,30150,509,29639,0,0,"30-01-2021 00:00",206003,0,0,0,0,0,0,0,0,0.1812,"Category B"
HR,Bhiwani,6166,25664,1629109,741251,317765,2454,578,0,0,0,22409,652,21757,0,0,"30-01-2021 00:00",176225,0,0,0,0,0,0,0,0,0.1082,"Category B"
HR,"Charkhi Dadri",941,11884,502276,364599,262184,35,2,0,0,2,5078,139,4939,0,0,"28-10-2020 00:00",58525,0,0,0,0,0,0,0,0,0.1165,"Category B"
HR,Faridabad,17515,30156,1798954,1658940,840997,1577,818,8,18,7,99902,716,99157,1,0,"30-01-2021 00:00",504970,0,0,0,0,0,0,0,0,0.2807,"Category B"
HR,Fatehabad,1800,7458,941522,574546,201763,37,30,1,0,0,17875,481,17394,0,0,"29-08-2020 00:00",27456,0,0,0,0,0,0,0,0,0.0292,"Very Low"
HR,Gurugram,20221,48107,1514085,2193114,1377160,1637,264,47,55,48,181428,922,180454,7,8,"30-01-2021 00:00",742619,0,0,0,0,0,0,0,0,0.4905,"Category C"
HR,Hisar,5821,12364,1742815,994213,332162,111,58,0,2,0,53995,1136,52857,0,0,"30-01-2021 00:00",322039,0,0,0,0,0,0,0,0,0.1848,"Category B"
HR,Jhajjar,8229,19599,956907,684511,293496,996,569,0,1,0,18849,328,18514,0,0,"30-11-2020 00:00",186853,0,0,0,0,0,0,0,0,0.1953,"Category B"
HR,Jind,13366,21662,1332042,704573,250859,567,490,0,1,0,21209,533,20675,0,0,"13-07-2020 00:00",11157,0,0,0,0,0,0,0,0,0.0084,"Very Low"
HR,Kaithal,4183,11836,1072861,615168,217439,149,69,2,0,2,11244,346,10898,0,0,"13-07-2020 00:00",11687,0,0,0,0,0,0,0,0,0.0109,"Very Low"
HR,Karnal,8109,23328,1506323,1000120,451876,217,617,2,1,0,40037,552,39484,1,0,"30-01-2021 00:00",185147,0,0,0,0,0,0,0,0,0.1229,"Category B"
HR,Kurukshetra,4064,9522,964231,610380,248125,199,55,1,1,1,22147,357,21789,0,0,"29-01-2021 00:00",198881,0,0,0,0,0,0,0,0,0.2063,"Category B"
HR,Mahendragarh,4857,10632,921680,576527,264911,529,205,0,0,0,21689,155,21534,0,0,"30-01-2021 00:00",143253,0,0,0,0,0,0,0,0,0.1554,"Category B"
HR,Nuh,10812,3789,1089406,354422,78081,583,2433,0,0,0,5014,123,4890,0,0,"01-11-2020 00:00",93389,0,0,0,0,0,0,0,0,0.0857,"Category A"
HR,Palwal,7558,9496,1040493,608874,221786,259,358,1,0,0,11025,153,10872,0,0,"30-01-2021 00:00",139809,0,0,0,0,0,0,0,0,0.1344,"Category B"
HR,Panchkula,1786,10743,558890,456675,279951,1033,127,7,10,12,30770,378,30379,1,2,"05-12-2020 00:00",118725,0,0,0,0,0,0,0,0,0.2124,"Category B"
HR,Panipat,7950,12888,1202811,830805,273172,1054,375,0,1,0,31150,638,30510,1,0,"06-10-2020 00:00",58863,0,0,0,0,0,0,0,0,0.0489,"Very Low"
HR,Rewari,2550,9877,896129,648724,294989,353,83,2,0,4,20327,221,20106,0,0,"30-01-2021 00:00",151363,0,0,0,0,0,0,0,0,0.1689,"Category B"
HR,Rohtak,11409,17219,1058683,674649,305282,953,311,4,0,1,25903,534,25350,0,0,"13-07-2020 00:00",25894,0,0,0,0,0,0,0,0,0.0245,"Very Low"
HR,Sirsa,4263,8228,1295114,786205,278920,92,47,3,3,2,29282,508,28771,0,0,"06-12-2020 00:00",150193,0,0,0,0,0,0,0,0,0.1160,"Category B"
HR,Sonipat,9421,21065,1480080,989125,411915,2190,785,1,0,1,47138,254,46884,0,0,"06-12-2020 00:00",238963,0,0,0,0,0,0,0,0,0.1615,"Category B"
HR,Yamunanagar,6471,16554,1214162,831598,340196,185,102,2,0,6,24631,414,24215,0,0,"30-01-2021 00:00",196131,0,0,0,0,0,0,0,0,0.1615,"Category B"
JH,Bokaro,27554,34375,2061918,994497,333330,4363,3236,5,15,13,19461,286,19170,0,0,"23-07-2020 00:00",11798,0,0,0,0,0,0,0,0,0.0057,"Very Low"
JH,Chatra,5946,11402,1042304,454807,126700,1813,909,0,0,0,6033,53,5977,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Deoghar,9801,19008,1491879,569167,230458,2299,985,0,2,1,10835,113,10721,0,0,"23-07-2020 00:00",6951,0,0,0,0,0,0,0,0,0.0047,"Very Low"
JH,Dhanbad,33374,34095,2682662,1185934,446946,3597,2811,1,24,13,16589,382,16196,0,1,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Dumka,12679,22872,1321096,638722,229944,2659,1460,0,2,2,4636,47,4589,0,1,"23-07-2020 00:00",5400,0,0,0,0,0,0,0,0,0.0041,"Very Low"
JH,"East Singhbhum",11994,29238,2291032,1424376,661091,4669,1925,11,47,42,51974,1046,50907,0,3,0,0,0,2,0,0,0,0,0,0,0.0000,"Very Low"
JH,Garhwa,17210,15386,1322387,456056,148421,3027,4770,1,6,7,6895,94,6801,0,1,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Giridih,16994,29823,2445203,994417,301193,3577,2411,0,0,0,8964,130,8834,0,0,"23-07-2020 00:00",11132,0,0,0,0,0,0,0,0,0.0046,"Very Low"
JH,Godda,7385,16537,1311382,527710,198198,1883,906,0,1,1,5840,87,5753,0,0,"23-07-2020 00:00",10980,0,0,0,0,0,0,0,0,0.0084,"Very Low"
JH,Gumla,4900,8696,1025656,387738,156364,744,465,0,5,0,9900,38,9857,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Hazaribagh,11940,21857,1734005,865943,317137,1243,678,0,3,3,19593,186,19404,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Jamtara,9614,12331,790207,381155,137216,1373,973,1,4,3,5599,61,5534,0,0,"21-07-2020 00:00",2880,0,1,0,0,0,0,0,0,0.0036,"Very Low"
JH,Khunti,3335,3834,530299,227503,107053,367,354,2,0,0,7820,96,7724,0,0,"29-07-2020 00:00",3852,0,0,0,0,0,0,0,0,0.0073,"Very Low"
JH,Koderma,3393,11488,717169,363078,140609,235,45,0,0,0,12872,136,12736,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Latehar,9565,7719,725673,294989,84919,773,1158,0,0,0,7871,57,7814,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Lohardaga,3444,3563,461738,173109,63130,166,188,0,0,2,6709,88,6621,0,0,"25-07-2020 00:00",7526,0,0,0,0,0,0,0,0,0.0163,"Very Low"
JH,Pakur,9945,9107,899200,378048,108941,2636,3009,1,0,0,2552,12,2539,0,0,"23-07-2020 00:00",6429,0,0,0,0,0,0,0,0,0.0071,"Very Low"
JH,Palamu,21657,37375,1936319,788026,311074,6713,5270,0,0,0,12294,110,12184,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Ramgarh,5306,10927,949159,522017,185442,944,645,1,7,0,13923,197,13714,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Ranchi,35099,38856,2912022,1512114,656001,4594,4743,52,182,228,86116,1585,84495,10,2,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Sahibganj,10449,13687,1150038,430948,132560,947,1336,0,0,0,4834,42,4792,0,0,"23-07-2020 00:00",5029,0,0,0,0,0,0,0,0,0.0044,"Very Low"
JH,Saraikela-Kharsawan,11215,12399,1063458,505417,167980,490,682,0,0,0,7207,67,7137,0,0,"13-12-2020 00:00",161796,0,0,0,0,0,0,0,0,0.1521,"Category B"
JH,Simdega,1694,4126,599813,277357,112059,189,67,0,0,0,7193,92,7101,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JH,Unknown,0,0,0,0,0,0,0,0,-166,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,"Very Low"
JH,"West Singhbhum",12587,16980,1501619,630437,225607,962,895,3,5,5,13054,133,12918,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Anantnag,1472,30949,1070144,759605,402717,4677,69,19,10,12,16603,205,16378,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Bandipora,349,6835,385099,303665,154345,639,12,16,13,19,9814,102,9693,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Baramulla,1665,29357,1015503,776258,450002,2327,42,57,96,64,24613,282,24196,10,6,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Budgam,1409,22456,735753,592075,319587,2657,113,48,63,53,23844,207,23548,10,10,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Doda,1065,19212,409576,313983,158751,1079,74,26,18,26,7869,133,7704,2,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Ganderbal,370,9271,297003,227349,133812,1116,33,10,31,12,10436,79,10313,7,2,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Jammu,4121,16781,1526406,1168448,610537,593,86,27,20,37,53324,1145,52145,3,6,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Kathua,1867,22270,615711,482584,249588,2053,108,1,0,5,9327,152,9175,0,0,0,0,0,1,0,0,0,0,0,0,0.0000,"Very Low"
JK,Kishtwar,3948,3385,230696,164754,78041,320,85,0,1,0,4819,44,4773,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Kulgam,632,20244,422786,401091,202260,1610,39,1,2,5,11489,117,11367,1,2,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Kupwara,3959,42820,875564,673594,348327,8743,165,32,25,25,14463,166,14268,5,4,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Pulwama,1021,16829,570060,430622,244300,1414,24,8,5,5,15512,194,15309,4,0,"01-01-2021 00:00",139552,0,0,0,0,0,0,0,0,0.2448,"Category B"
JK,Punch,695,27765,476820,386098,234540,3190,45,13,7,14,6482,98,6371,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Rajouri,1247,9544,619266,498787,241407,752,56,8,4,7,11272,237,11031,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Ramban,1498,10369,283313,220690,147086,829,155,0,3,0,6043,67,5971,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Reasi,1644,15636,314714,244379,133971,1808,240,13,4,10,6626,43,6575,0,2,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Samba,1207,6224,318611,280700,122554,468,40,1,0,2,7152,120,7032,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Shopiyan,139,7669,265960,203036,95122,302,6,0,0,0,5607,58,5549,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
JK,Srinagar,2788,80075,1269751,957347,592016,11547,394,247,305,274,75539,846,74242,49,45,0,0,0,2,0,0,0,0,0,0,0.0000,"Very Low"
JK,Udhampur,2420,14763,555357,425945,227785,700,76,2,4,2,11415,137,11275,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,"Very Low"
KA,Bagalkote,57683,22844,1890826,1188016,613422,98,823,1,0,0,35178,333,34843,0,0,"23-08-2020 00:00",49851,0,0,0,0,0,0,0,0,0.0264,"Very Low"
KA,Ballari,54006,84805,2532383,1758198,864065,483,2415,9,9,14,97763,1689,95961,0,2,"28-12-2020 00:00",402407,0,0,0,0,0,0,0,0,0.1589,"Category B"
KA,Belagavi,39701,98350,4778439,3165252,1386668,825,427,31,20,21,79900,938,78879,6,1,"02-01-2021 00:00",396565,0,1,0,0,0,0,0,0,0.0830,"Category A"
KA,"Bengaluru Rural",5196,22700,987257,700825,385704,994,118,40,23,27,62005,890,61073,3,3,"31-01-2021 00:00",240277,0,2,0,0,0,0,0,0,0.2434,"Category B"
KA,"Bengaluru Urban",48836,247281,9588910,9219875,5903791,11462,2109,1105,1165,1093,1251872,16281,1229059,137,204,"31-01-2021 00:00",6883888,7,37,1,0,0,0,0,0,0.7179,"Category D"
KA,Bidar,13739,30558,1700018,929776,515993,740,408,7,0,5,24340,400,23936,0,0,"29-08-2020 00:00",67689,0,0,4,0,0,0,0,0,0.0398,"Very Low"
KA,Chamarajanagara,2102,36658,1020962,647951,351940,399,25,14,6,15,33001,500,32469,0,4,"28-06-2020 00:00",5156,0,0,11,0,0,0,0,0,0.0051,"Very Low"
KA,Chikkaballapura,4700,19860,1254377,852473,497674,22,16,6,11,8,43951,429,43501,2,0,"28-06-2020 00:00",15089,1,3,1,0,0,0,0,0,0.0120,"Very Low"
KA,Chikkamagaluru,4830,13010,1137753,737417,346002,29,14,46,28,93,51126,395,50662,3,4,"28-06-2020 00:00",5467,0,0,0,0,0,0,0,0,0.0048,"Very Low"
KA,Chitradurga,45062,47252,1660378,1020280,618156,1956,2340,9,17,12,36666,206,36412,3,3,"28-06-2020 00:00",4393,0,0,0,0,0,0,0,0,0.0026,"Very Low"
KA,"Dakshina Kannada",5124,38765,2083625,1531107,848253,858,139,232,192,193,115478,1680,113515,24,20,"17-09-2020 00:00",131281,0,9,7,0,0,0,0,0,0.0630,"Category A"
KA,Davanagere,7079,28149,1946905,1016827,495371,33,16,9,10,11,50989,608,50359,2,1,"28-06-2020 00:00",17483,0,1,0,0,0,0,0,0,0.0090,"Very Low"
KA,Dharwad,24515,35313,1846993,1212295,561504,323,459,15,4,10,60970,1315,59639,0,3,"13-10-2020 00:00",137696,1,3,2,0,0,0,0,0,0.0746,"Category A"
KA,Gadag,12373,16257,1065235,691646,328477,167,1176,1,0,0,26066,319,25747,0,0,"28-06-2020 00:00",8904,0,0,0,0,0,0,0,0,0.0084,"Very Low"
KA,Hassan,5434,26697,1776221,1224599,614828,123,37,144,147,125,111785,1256,110294,26,28,"28-06-2020 00:00",10800,0,5,2,0,0,0,0,0,0.0061,"Very Low"
KA,Haveri,8794,36386,1598506,999178,383705,7,2,3,1,2,21947,644,21301,1,1,"28-06-2020 00:00",11714,0,1,0,0,0,0,0,0,0.0073,"Very Low"
KA,Kalaburagi,35135,44220,2564892,1323039,641641,1001,1631,2,9,5,61926,819,61087,3,0,"30-01-2021 00:00",409596,0,0,0,0,0,0,0,0,0.1597,"Category B"
KA,Kodagu,1558,12680,554762,385482,212033,202,26,79,112,67,37095,329,36616,11,7,"31-01-2021 00:00",143982,0,0,1,0,0,0,0,0,0.2595,"Category B"
KA,Kolar,13745,34211,1540231,991957,625918,1088,748,38,18,31,46916,638,46266,2,5,"14-10-2020 00:00",91924,0,3,0,0,0,0,0,0,0.0597,"Category A"
KA,Koppal,16045,33794,1391292,814373,411092,321,116,2,1,5,35198,521,34660,0,0,"28-06-2020 00:00",8708,0,0,0,0,0,0,0,0,0.0063,"Very Low"
KA,Mandya,5411,28944,1808680,1189318,659066,123,8,59,48,36,73753,650,73029,8,2,"28-06-2020 00:00",14874,0,0,0,0,0,0,0,0,0.0082,"Very Low"
KA,Mysuru,46664,111457,2994744,2141764,1239770,1258,798,252,234,247,179167,2416,176447,33,34,"31-08-2020 00:00",107338,2,7,0,0,0,0,0,0,0.0358,"Very Low"
KA,"Other State",0,0,0,0,0,0,0,0,0,0,36,3,33,0,0,0,0,0,0,0,0,0,0,0,0,NULL,"Very Low"
KA,Raichur,19900,34897,1924773,1021603,448501,433,151,7,1,4,39973,331,39641,0,1,"28-06-2020 00:00",21011,0,0,0,0,0,0,0,0,0.0109,"Very Low"
KA,Ramanagara,6303,28767,1082739,754463,469335,61,11,12,8,10,24204,320,23869,0,0,"25-11-2020 00:00",103399,0,2,0,0,0,0,0,0,0.0955,"Category A"
KA,Shivamogga,23220,47086,1755512,1162073,535447,957,417,38,30,66,69444,1088,68239,3,0,"21-08-2020 00:00",48760,0,0,0,0,0,0,0,0,0.0278,"Very Low"
KA,Tumakuru,31038,66650,2681449,1672730,881580,3742,1842,103,136,112,120836,1127,119420,17,12,"24-09-2020 00:00",106564,0,1,0,0,0,0,0,0,0.0397,"Very Low"
KA,Udupi,2422,27889,1177908,919074,529427,137,16,91,49,75,76718,489,76181,2,6,"13-09-2020 00:00",86092,0,0,0,0,0,0,0,0,0.0731,"Category A"
KA,"Uttara Kannada",3955,32067,1353299,980496,505589,155,11,65,66,48,56218,766,55339,6,4,"28-06-2020 00:00",13833,0,0,0,0,0,0,0,0,0.0102,"Very Low"
KA,Vijayapura,59571,50033,2175102,1535235,634270,583,340,11,2,2,36267,495,35764,0,0,"28-06-2020 00:00",25108,0,0,0,0,0,0,0,0,0.0115,"Very Low"
KA,Yadgir,18060,15460,1172985,708887,348094,62,108,1,0,2,27545,207,27337,0,0,"31-01-2021 00:00",221485,0,0,0,0,0,0,0,0,0.1888,"Category B"
KL,Alappuzha,5337,51712,2121943,1518055,855411,502,65,3016,2035,2526,316160,1862,313515,270,455,0,0,1,228,40,0,0,0,0,0,0.0000,"Very Low"
KL,Ernakulam,13018,91762,3279860,2953482,1759232,1977,573,8747,7647,8539,602800,3555,583842,1046,918,0,0,11,742,70,0,0,0,0,0,0.0000,"Very Low"
KL,Idukki,2211,27218,1107453,859116,481911,208,26,3256,2876,1866,147118,519,140292,550,195,"01-01-2021 00:00",237691,1,71,9,0,0,0,0,0,0.2146,"Category B"
KL,Kannur,7636,71089,2525637,1891004,959656,325,38,3456,2611,3143,275264,2325,269475,304,451,"01-01-2021 00:00",392136,0,301,53,0,0,0,0,0,0.1553,"Category B"
KL,Kasaragod,4942,24290,1302600,910194,521754,1861,389,1156,1054,1082,138815,617,134824,137,147,0,0,0,31,17,0,0,0,0,0,0.0000,"Very Low"
KL,Kollam,7368,62100,2629703,1951077,1047951,215,13,3991,4753,6283,390872,2451,383923,592,848,0,0,0,161,57,0,0,0,0,0,0.0000,"Very Low"
KL,Kottayam,5298,58083,1979384,1477425,841596,125,11,4644,4187,1611,322484,1356,315759,506,155,0,0,5,101,18,0,0,0,0,0,0.0000,"Very Low"
KL,Kozhikode,11449,57479,3089543,2341296,1154561,449,55,5631,5386,5059,527346,3374,519030,742,760,"01-01-2021 00:00",955060,23,513,44,0,0,0,0,0,0.3091,"Category C"
KL,Malappuram,20840,52896,4110956,2833303,1103557,523,152,3497,2634,2929,567584,2576,562111,334,560,"30-12-2020 00:00",469850,48,108,32,0,0,0,0,0,0.1143,"Category B"
KL,Palakkad,8712,57261,2810892,1989222,950909,397,37,3177,2560,2544,373839,2881,364351,339,423,"19-10-2020 00:00",226562,16,175,24,0,0,0,0,0,0.0806,"Category A"
KL,Pathanamthitta,2637,29343,1195537,1048352,677224,1275,149,2683,2953,2635,193406,1076,184979,447,406,"01-01-2021 00:00",306034,2,122,11,0,0,0,0,0,0.2560,"Category B"
KL,Thiruvananthapuram,9284,89297,3307284,2578575,1562343,2986,418,7626,7056,4851,463977,4996,448304,878,754,"23-10-2020 00:00",436661,1,118,114,0,0,0,0,0,0.1320,"Category B"
KL,Thrissur,8853,87643,3110327,2295947,1305873,977,107,6874,5751,3647,523260,3575,515481,753,38,"01-01-2021 00:00",639055,59,388,26,0,0,0,0,0,0.2055,"Category B"
KL,Wayanad,2223,32359,816558,659451,436359,243,12,1767,1823,1691,125732,518,121295,269,329,"01-01-2021 00:00",211953,0,30,14,0,0,0,0,0,0.2596,"Category B"
LA,Kargil,205,748,143000,87221,64300,3,0,0,4,0,3619,58,3556,0,0,"14-01-2021 00:00",37471,0,0,0,0,0,0,0,0,0.2620,"Category B"
LA,Leh,320,785,147000,121577,87980,0,0,26,54,28,17343,150,17131,11,9,"14-01-2021 00:00",72597,0,0,0,0,0,0,0,0,0.4939,"Category C"
MH,Ahmednagar,44180,28319,4543083,2468837,881402,661,535,2120,866,728,339457,7043,330122,138,11,"19-07-2020 00:00",11077,2,26,1,0,0,0,0,0,0.0024,"Very Low"
MH,Akola,26579,10081,1818617,760099,357931,200,576,7,3,7,58764,1425,57318,0,1,0,0,0,0,4,0,0,0,0,0,0.0000,"Very Low"
